id,2-1-1,2-2-2,2-3-3,2-4-4,2-5-5,2-6-6,2-7-7,2-8-8,2-9-9,2-10-10
1-1-1,60.645881310894595,91.82205700123916,91.69256485691362,92.89766029648152,95.96220533800896,97.03580622513456,99.98676909944516,101.5822494261668,98.88988645365725,98.30253994264646
1-2-2,92.99345361647772,88.06019104615031,87.17329545454545,95.60147957542618,98.97061380629455,97.66816601921897,99.42647058823529,99.01727677044133,98.92578302315025,97.2961279767315
1-3-3,91.43071378749129,72.74145279767842,73.20776233828462,97.67052360916315,97.96143386897404,95.96984785615491,98.0395132801256,98.04373854612095,99.3755931198102,96.79640260237275
1-4-4,92.03834276891405,76.9605766401883,71.31525247267048,98.06355164380015,98.53085399449036,96.03828125,98.38353148392778,98.65275322909585,99.65336489685492,96.71251248394921
1-5-5,101.60051451672179,105.49733096085409,104.84302405498282,105.49916620344636,94.24888438133874,100.4054054054054,102.99107740352443,107.25174129353233,103.17020089285714,106.20683760683761
1-6-6,100.79625334522747,102.67422166874222,101.87442860984136,101.13203813635546,98.10013744354997,93.23600283486888,98.47696943607404,100.79452582883577,97.42914331465172,98.7585708384965
1-7-7,96.89436765009285,101.03591000865302,100.0306886227545,97.50666389004581,93.81776239907728,77.31769784172661,94.66949588477367,95.88397291196388,91.76153846153846,93.70012239902081
1-8-8,108.35449146250927,106.34348605067827,106.45007616673591,107.983529852143,105.77440525020509,101.81822709163346,88.85482050124182,100.10782538724602,94.95100538091192,105.8357111975789
1-9-9,109.83241758241758,110.68290909090909,109.93117408906883,110.67191555632462,107.68693524096386,109.1967654986523,99.13114080164439,91.0541890142408,105.49508444668515,108.60924535756618
1-10-10,108.78413200723327,106.89259824494468,106.55284242655475,108.47042703813656,109.00920245398773,103.43905635648755,100.18383838383838,106.22585475418019,88.59368913128165,107.75259421081377
1-11-11,98.08724954462659,97.75287428932407,95.90864399836133,98.71515151515152,94.95781438328646,92.57989315201554,93.62635179871992,96.18273211117682,94.62224669603525,72.39001692047377
